iter	Logloss
0	0.6885876248
1	0.6845814695
2	0.6796051191
3	0.6753212387
4	0.6717556106
5	0.6679686619
6	0.6640091014
7	0.65952186
8	0.6561896168
9	0.6522075853
10	0.6489309455
11	0.6454998735
12	0.6423722442
13	0.6394133676
14	0.6359477595
15	0.6326362085
16	0.6293121329
17	0.627263097
18	0.6239593332
19	0.6206493022
20	0.6176460183
21	0.6135340933
22	0.6101446003
23	0.6067631165
24	0.60333456
25	0.6004939191
26	0.5980010171
27	0.5951427073
28	0.5916480479
29	0.5905305938
30	0.5867941972
31	0.583535931
32	0.5806895041
33	0.5780447597
34	0.5757185372
35	0.5731057374
36	0.5703377745
37	0.5679903094
38	0.5644687412
39	0.5612232178
40	0.5582752168
41	0.5555725029
42	0.5531872157
43	0.5497770682
44	0.5476334409
45	0.5453247126
46	0.5425833797
47	0.5407786679
48	0.5379216117
49	0.5359291795
50	0.53380903
51	0.5312496694
52	0.5287014095
53	0.5263284696
54	0.5242997496
55	0.522684005
56	0.5196391488
57	0.5175066414
58	0.5151576546
59	0.5129614907
60	0.5108731322
61	0.5081027569
62	0.5058109402
63	0.504048966
64	0.501965447
65	0.4994019047
66	0.4966316797
67	0.4948042437
68	0.4931987059
69	0.4907058425
70	0.4891653897
71	0.487728124
72	0.4861475397
73	0.4837894954
74	0.4817336323
75	0.4796427753
76	0.4781929562
77	0.4766460785
78	0.4746562786
79	0.472882155
80	0.4708735479
81	0.4693098244
82	0.4675798248
83	0.4654228077
84	0.4635362614
85	0.4621688982
86	0.4598738466
87	0.4585567425
88	0.4574544746
89	0.4560117283
90	0.4545164632
91	0.4527487853
92	0.4510897574
93	0.4499320214
94	0.4485414915
95	0.4476062702
96	0.4465731866
97	0.4447704786
98	0.4434376187
99	0.4414131165
100	0.4402072533
101	0.4392108902
102	0.4377793232
103	0.4365411651
104	0.4353818985
105	0.4341825196
106	0.4322754388
107	0.4311530729
108	0.4296543207
109	0.4286191624
110	0.4270471081
111	0.4260603008
112	0.4248838826
113	0.4240398432
114	0.4231509749
115	0.4216750274
116	0.4204414391
117	0.4190321901
118	0.41753571
119	0.4165174237
120	0.4152825962
121	0.4141650217
122	0.4130816642
123	0.4118913745
124	0.4107848763
125	0.41017053
126	0.4087647511
127	0.4075913614
128	0.4065711143
129	0.4054311022
130	0.4044878349
131	0.4036941746
132	0.4021313144
133	0.4011878803
134	0.3995809899
135	0.3984035257
136	0.3970210217
137	0.3960931242
138	0.3954046434
139	0.393943064
140	0.3926978463
141	0.3914698025
142	0.3901133274
143	0.3891266396
144	0.3882942536
145	0.3870945262
146	0.3856632171
147	0.3841788089
148	0.3831180849
149	0.3822372411
150	0.3816863614
151	0.3808074726
152	0.3794106263
153	0.3788217461
154	0.3776839489
155	0.3763324909
156	0.3752112346
157	0.3742595053
158	0.3735465131
159	0.3727475168
160	0.3716195553
161	0.3709712973
162	0.3702286667
163	0.3693525953
164	0.3685849631
165	0.3677654135
166	0.3671350647
167	0.366141729
168	0.3652849947
169	0.3639734433
170	0.3628207382
171	0.3621795757
172	0.3614547055
173	0.3605805853
174	0.359264521
175	0.3584028028
176	0.3578651137
177	0.3567536587
178	0.3559374495
179	0.355236138
180	0.3543560819
181	0.3532516707
182	0.3524447951
183	0.3513667413
184	0.3505904618
185	0.3498217387
186	0.3490847282
187	0.3480753915
188	0.3476164573
189	0.3469157272
190	0.3461733124
191	0.3454794397
192	0.3445202727
193	0.3434467103
194	0.3423628753
195	0.3418452301
196	0.3408387967
197	0.3400750641
198	0.3391652469
199	0.3384709006
200	0.3379995888
201	0.3373144738
202	0.3366235479
203	0.3361063873
204	0.3352215032
205	0.3348008984
206	0.3342795172
207	0.3337428974
208	0.3331330094
209	0.3323036838
210	0.3313277279
211	0.3306193436
212	0.3299767933
213	0.3288061235
214	0.328278581
215	0.3274558104
216	0.3266660749
217	0.3257000202
218	0.3247790688
219	0.324056796
220	0.3234396039
221	0.3229267599
222	0.3222867887
223	0.3217442362
224	0.3212010992
225	0.3205452627
226	0.3197638332
227	0.3188102264
228	0.3182561239
229	0.3175673224
230	0.3168865201
231	0.3160066055
232	0.3154597902
233	0.3147827984
234	0.313944292
235	0.3134415822
236	0.3127388114
237	0.3121977878
238	0.3121259304
239	0.311311281
240	0.3111466729
241	0.3103475352
